"","graph.type","degree","p","power","mu","size","graph.no","lambda_0","lambda_2","lambda_1"
"1","facebook",NA,NA,NA,NA,NA,1,0,0.0001845,0.001086
"2","facebook",NA,NA,NA,NA,NA,1,0,0.0001929,0.001086
"3","facebook",NA,NA,NA,NA,NA,1,0,0.0001995,0.001086
"4","facebook",NA,NA,NA,NA,NA,1,0,0.0001845,0.001111
"5","facebook",NA,NA,NA,NA,NA,1,0,0.0001929,0.001111
"6","facebook",NA,NA,NA,NA,NA,1,0,0.0001995,0.001111
"7","facebook",NA,NA,NA,NA,NA,1,0,0.0001845,0.001136
"8","facebook",NA,NA,NA,NA,NA,1,0,0.0001929,0.001136
"9","facebook",NA,NA,NA,NA,NA,1,0,0.0001995,0.001136
