"","graph.type","degree","p","power","mu","fw","bw","size","graph.no","lambda_0","lambda_1","lambda_2"
"315","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,0.75,0.5
"316","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,0.75,0.5
"317","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,0.75,0.5
"318","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,0.75,0.5
"319","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,0.75,0.5
"320","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,0.75,0.5
"321","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,0.75,0.5
"322","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,0.75,0.5
"323","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,0.75,0.5
"324","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,0.75,0.5
"325","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,0.75,0.5
"326","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,0.75,0.5
"327","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,0.75,0.5
"328","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,0.75,0.5
"329","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,0.75,0.5
"330","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,0.75,0.5
"331","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,1,0.5
"332","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,1,0.5
"333","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,1,0.5
"334","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,1,0.5
"335","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,1,0.5
"336","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,1,0.5
"337","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,1,0.5
"338","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,1,0.5
"339","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,1,0.5
"340","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,1,0.5
"341","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,1,0.5
"342","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,1,0.5
"343","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,1,0.5
"344","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,1,0.5
"345","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,1,0.5
"346","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,1,0.5
"347","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,1,0.5
"348","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,1,0.5
"349","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,1,0.5
"350","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,1,0.5
"351","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,1,0.5
"352","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,1,0.5
"353","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,1,0.5
"354","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,1,0.5
"355","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,1,0.5
"356","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,1,0.5
"357","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,1,0.5
"358","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,1,0.5
"359","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,1,0.5
"360","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,1,0.5
"361","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,0.25,1
"362","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,0.25,1
"363","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,0.25,1
"364","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,0.25,1
"365","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,0.25,1
"366","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,0.25,1
"367","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,0.25,1
"368","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,0.25,1
"369","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,0.25,1
"370","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,0.25,1
"371","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,0.25,1
"372","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,0.25,1
"373","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,0.25,1
"374","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,0.25,1
"375","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,0.25,1
"376","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,0.25,1
"377","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,0.25,1
"378","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,0.25,1
"379","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,0.25,1
"380","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,0.25,1
"381","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,0.25,1
"382","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,0.25,1
"383","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,0.25,1
"384","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,0.25,1
"385","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,0.25,1
"386","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,0.25,1
"387","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,0.25,1
"388","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,0.25,1
"389","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,0.25,1
"390","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,0.25,1
"391","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,0.5,1
"392","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,0.5,1
"393","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,0.5,1
"394","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,0.5,1
"395","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,0.5,1
"396","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,0.5,1
"397","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,0.5,1
"398","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,0.5,1
"399","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,0.5,1
"400","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,0.5,1
"401","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,0.5,1
"402","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,0.5,1
"403","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,0.5,1
"404","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,0.5,1
"405","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,0.5,1
"406","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,0.5,1
"407","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,0.5,1
"408","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,0.5,1
"409","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,0.5,1
"410","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,0.5,1
"411","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,0.5,1
"412","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,0.5,1
"413","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,0.5,1
"414","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,0.5,1
"415","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,0.5,1
"416","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,0.5,1
"417","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,0.5,1
"418","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,0.5,1
"419","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,0.5,1
"420","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,0.5,1
"421","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,0.75,1
"422","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,0.75,1
"423","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,0.75,1
"424","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,0.75,1
"425","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,0.75,1
"426","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,0.75,1
"427","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,0.75,1
"428","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,0.75,1
"429","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,0.75,1
"430","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,0.75,1
"431","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,0.75,1
"432","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,0.75,1
"433","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,0.75,1
"434","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,0.75,1
"435","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,0.75,1
"436","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,0.75,1
"437","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,0.75,1
"438","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,0.75,1
"439","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,0.75,1
"440","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,0.75,1
"441","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,0.75,1
"442","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,0.75,1
"443","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,0.75,1
"444","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,0.75,1
"445","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,0.75,1
"446","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,0.75,1
"447","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,0.75,1
"448","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,0.75,1
"449","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,0.75,1
"450","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,0.75,1
"451","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,1,1
"452","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,1,1
"453","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,1,1
"454","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,1,1
"455","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,1,1
"456","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,1,1
"457","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,1,1
"458","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,1,1
"459","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,1,1
"460","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,1,1
"461","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,1,1
"462","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,1,1
"463","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,1,1
"464","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,1,1
"465","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,1,1
"466","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,1,1
"467","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,1,1
"468","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,1,1
"469","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,1,1
"470","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,1,1
"471","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,1,1
"472","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,1,1
"473","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,1,1
"474","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,1,1
"475","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,1,1
"476","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,1,1
"477","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,1,1
"478","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,1,1
"479","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,1,1
"480","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,1,1
